Index,Type,Link
169,Bathroom Accessories,https://www.myntra.com/bathroom-accessories
170,Floor Lamps,https://www.myntra.com/floor-lamps
171,Table Lamps,https://www.myntra.com/table-lamps
172,Wall Lamps,https://www.myntra.com/wall-lamps
173,Plants & Planters,https://www.myntra.com/artificial-flowers-and-plants
174,Aromas & Candles,https://www.myntra.com/candles
175,Clocks,https://www.myntra.com/clocks
176,Mirrors,https://www.myntra.com/mirrors
177,Wall Décor,https://www.myntra.com/wall-decor
178,Wall Shelves,https://www.myntra.com/wall-shelves
179,Fountains,https://www.myntra.com/fountains
180,Showpieces & Vases,https://www.myntra.com/home-decor-showpieces-vases
181,Tableware & Serveware,https://www.myntra.com/tableware-and-serveware
182,Bar & Drinkware,https://www.myntra.com/home-bar-drinkware
183,Cookware & Kitchen Tools,https://www.myntra.com/home-furnishing-kitchen-cookware-tools
184,Kitchen Storage,https://www.myntra.com/home-furnishing-kitchen-storage
185,Table Covers & Furnishings,https://www.myntra.com/home-furnishing-kitchen-linen
186,Organisers,https://www.myntra.com/organisers
187,Hooks & Holders,https://www.myntra.com/hooks-and-holders
188,Bombay Dyeing,https://www.myntra.com/bombay-dyeing
189,Spaces,https://www.myntra.com/spaces
190,D'Decor,https://www.myntra.com/ddecor
191,Portico New York,https://www.myntra.com/portico-new-york
192,Pure Home & Living,https://www.myntra.com/pure-home-and-living
193,Swayam,https://www.myntra.com/swayam
194,Raymond Home,https://www.myntra.com/raymond-home
195,Maspar,https://www.myntra.com/maspar
196,Corelle,https://www.myntra.com/corelle
197,Trident,https://www.myntra.com/trident
198,Cortina,https://www.myntra.com/cortina
199,Story@Home,https://www.myntra.com/story-at-home
200,Random,https://www.myntra.com/random
201,Home Sparkle,https://www.myntra.com/home-sparkle
202,ROMEE,https://www.myntra.com/romee?sort=popularity
203,SEJ by Nisha Gupta,https://www.myntra.com/sej-by-nisha-gupta
