Index,Product Company Name: ,Product Name: ,Product MRP: ,Product Price: ,Dicount Information,Product Details ,Product Code,Seller Information,Source of Product
121,"""WROGN""","""Men Pink & White Striped Slim Fit Round Neck T-shirt""",Rs. 1099,Rs. 714,(35% OFF),"""{'Product Details ': '""Pink and White striped T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""Slim FitThe model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:Multi or Variegated Stripes,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Striped,Pattern Coverage:All-Over,Print or Pattern Type:Striped,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11363642,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,NO. 500, 1st FLOOR, CMH ROAD, BINNAMANGALA, 2nd STAGE, INDIRANAGAR,,BANGALORE,KARNATAKA,560038-----Country of origin::India-----"""
122,"""WROGN ACTIVE""","""Men Blue & Grey Back Printed Round Neck T-shirt""",Rs. 999,Rs. 699,(30% OFF),"""{'Product Details ': '""Blue and Grey back printed T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% PolyesterMachine Wash""', 'Specifications': '""""Fabric:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:Geometric Print,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Printed,Pattern Coverage:Back,Print or Pattern Type:Geometric,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Sport:Training or Gym,Wash Care:Machine Wash,""""'}""",11551908,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,NO. 500, 1st FLOOR, CMH ROAD, BINNAMANGALA, 2nd STAGE, INDIRANAGAR,,BANGALORE,KARNATAKA,560038-----Country of origin::India-----"""
123,"""UNDER ARMOUR""","""Men Charcoal Grey MK1 Short Sleeve Emboss T-shirt""",Rs. 2799,Rs. 2799,0,"""{'Product Details ': '""Special technologiesHeatGear\xa0fabric is ultra-soft and\xa0smooth for extreme comfort with very little weightMesh panels for strategic ventilationMaterial wicks sweat and dries really fastAnti-odor technology prevents the growth of odor-causing microbesProduct design detailsDropped, shaped hem for enhanced coverageRaglan sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""90% polyester, 10% elastaneMachine-wash""', 'Specifications': '""""Fabric:Polyester,Fabric 2:Elastane,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Checked,Print or Pattern Type:Checked,Sleeve Length:Short Sleeves,Sleeve Styling:Raglan Sleeves,Technology:Anti Odour,Wash Care:Machine Wash,""""'}""",10819042,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::VEGA TEXTILE LTD AL HUSSEIN BIN ABDULLAH II KARAK 61112-----Country of origin::Jordan-----"""
124,"""WROGN""","""Men Sea Green & Navy Striped T-shirt""",Rs. 999,Rs. 699,(30% OFF),"""{'Product Details ': '""Sea Green and navy blue striped T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Cotton  Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Striped,Print or Pattern Type:Striped,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",2339251,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,Universal Sports Biz Pvt. Ltd.Next SCM solutions Pvt. Ltd.,#88/3, Seggehalli village, Kadugodi,BANGALORE,KARNATAKA,560067-----Country of origin::INDIA-----"""
125,"""Roadster""","""Men Green Mandarin Collar Solid T-shirt with Stripped Sleeves""",Rs. 1099,Rs. 659,(40% OFF),"""{'Product Details ': '""Green solid T-shirt with applique design has a mandarin collar, and short stripped sleeves""', 'Size & Fit': '""Regular SleevesThe model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% CottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Mandarin Collar,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Surface Styling:Applique,Wash Care:Machine Wash,""""'}""",10916526,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::MACFIT FASHIONS-NO-1,5/6 , SINGARAVELAN NAGAR,1ST STREET,SAKTHI THEATRE ROAD ,CHETTIPALAYAM-TAMILNADU-Tirupur-641603-----Country of origin::India-----"""
126,"""Roadster""","""Men Maroon & Off-White Printed Round Neck T-shirt""",Rs. 599,Rs. 329,(45% OFF),"""{'Product Details ': '""Maroon and Off-white printed T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Graphic Print Others,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",10423580,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::MACFIT FASHIONSNO-1,5/6 , SINGARAVELAN NAGAR,1ST STREET,SAKTHI THEATRE ROAD ,CHETTIPALAYAM,Tirupur,TAMILNADU,641603-----Country of origin::INDIA-----"""
127,"""WROGN""","""Men Navy Blue & Black Striped Slim Fit Polo Collar T-shirt""",Rs. 1399,Rs. 909,(35% OFF),"""{'Product Details ': '""Navy blue and black striped T-shirt, has a polo collar, and short sleeves""', 'Size & Fit': '""Slim FitThe model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Striped,Print or Pattern Type:Striped,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11363852,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,NO. 500, 1st FLOOR, CMH ROAD, BINNAMANGALA, 2nd STAGE, INDIRANAGAR,,BANGALORE,KARNATAKA,560038-----Country of origin::India-----"""
128,"""Calvin Klein Jeans""","""Men Black Solid Round Neck T-shirt""",Rs. 2599,Rs. 2599,0,"""{'Product Details ': '""Black solid T-shirt, has a round neck, short sleeves, and 1 pockets""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% CottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Number of Pockets:1,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Surface Styling:Pockets,Wash Care:Machine Wash,""""'}""",11370716,Sold by: Indiflashmart  Indiflashmart ,"""Manufacturer/Packer/Importer Details::CALVIN KLEIN ARVIND FASHION PRIVATE LIMITED, VAYUDOOTH CHAMBERS, 9TH FLOOR, 15 & 16, M.G.ROAD, BANGALORE - 560001-----Country of origin::BANGLADESH-----"""
129,"""UCLA""","""Men Black & White Colourblocked Round Neck T-shirt""",Rs. 699,Rs. 699,0,"""{'Product Details ': '""Black and White colourblocked T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: Cotton Machine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Colourblocked,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Colourblocked,Pattern Coverage:Full-Front,Print or Pattern Type:Colourblocked,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11713286,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::Lifestyle International Private Limited,77 Town Centre, Building No 3 West Wing, Off, Yamlur PO, Bengaluru, Karnataka 560037-----Country of origin::India-----"""
130,"""SINGLE""","""Men Off-White & Black Striped Henley Neck T-shirt""",Rs. 1299,Rs. 844,(35% OFF),"""{'Product Details ': '""Off-white and Black striped T-shirt, has a Henley neck, and long sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Henley Neck,Occasion:Casual,Pattern:Striped,Pattern Coverage:All-Over,Print or Pattern Type:Striped,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11433436,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,NO. 500, 1st FLOOR, CMH ROAD, BINNAMANGALA, 2nd STAGE, INDIRANAGAR,,BANGALORE,KARNATAKA,560038-----Country of origin::India-----"""
131,"""UNDER ARMOUR""","""Men Navy Blue Compression Fit HeatGear Solid T-Shirt""",Rs. 1999,Rs. 1999,0,"""{'Product Details ': '""Special technologiesHeatGear fabric is ultra-soft & smooth for extreme comfort with very little weightStretch-mesh underarm panels deliver strategic ventilationUPF 30 protects your skin from the sun\'s harmful rays4-way stretch construction moves better in every directionMaterial wicks sweat & dries really fastAnti-odor technology prevents the growth of odor-causing microbesProduct design detailsNavy blue solid T-shirtHas a round neckShort sleevesMesh panel on back neck with ARMOUR wordmarkCompression:\xa0Ultra-tight, second-skin fit for a locked-in feelAbout\xa0UNDER ARMOURCompression Fit HeatGear T-ShirtHeatGear(r) Armour is our original performance replacement for old-school T\'s. It\'s tight to wick away sweat and quick-drying to keep you cool. We\'ve come a long way since that first innovation--but that core, next-to-skin layer is still something no athlete can go without.""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""84% polyester, 16% elastaneMachine-wash""', 'Specifications': '""""Fabric:Polyester,Fabric 2:Elastane,Fit:Compression,Length:Regular,Main Trend:Nautical,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Raglan Sleeves,Wash Care:Machine Wash,""""'}""",8902889,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::UNITED TEXTILE INC TAIWAN BRANCH-----Country of origin::Cambodia-----"""
132,"""HERE&NOW""","""Men Grey & Purple Striped Round Neck T-shirt With Pocket Detail""",Rs. 799,Rs. 799,0,"""{'Product Details ': '""Grey and Purple striped T-shirt, has a round neck, short sleeves, and 1 pockets""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: Cotton Machine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Pocket Detailing,Multipack Set:Single,Neck:Round Neck,Number of Pockets:1,Occasion:Casual,Pattern:Striped,Pattern Coverage:Chest,Print or Pattern Type:Striped,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Surface Styling:Pockets,Wash Care:Machine Wash,""""'}""",11332892,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::VIJAY APPARELS , 2/337, Puduthottam ,Dharapuram Road Pollikalipalayam Post,Tiruppur, 641665,Coimbatore,TAMILNADU,641665-----Country of origin::India-----"""
133,"""Superdry""","""Sport Men Black Solid Moisture Wicking Performance Compression Round Neck T-shirt""",Rs. 5999,Rs. 5999,0,"""{'Product Details ': '""Special TechnologiesMoisture Wicking TechnologyVebtillation DetailsCompression Athletic RecoverySuperquick dry technologyProduct Design DetailsBlack printed T-shirthas a round neckshort sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Body: 78% Polyester, 22% ElastaneOther: 87% Polyester, 13% ElastaneMachine-wash""', 'Specifications': '""""Fabric:Polyester,Fabric 2:Elastane,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Technology:Moisture Wicking,Wash Care:Machine Wash,""""'}""",10737684,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::Imported and Marketed By : Reliance Brands Limited, 8th Floor, Maker Tower E, Cuffe Parade, Mumbai - 400 005-----Country of origin::China-----"""
134,"""Roadster""","""Men Pack of 2 Polo T-shirts""",Rs. 1399,Rs. 769,(45% OFF),"""{'Product Details ': '""Pack of two polo T-shirtsNavy blue T-shirt, has a polo collar with a short button placket, short sleeves, vented hemNavy blue and maroon striped T-shirt, has a polo collar with a short button placket, short sleeves, vented hem""', 'Size & Fit': '""The model (height 6\') is wearing a size L""', 'Material & Care': '""100% cottonMachine-wash cold""', 'Complete The Look': '""You\'ll love this high-fashion Roadster T-shirt. These two T-shirts pairs well with your favourite slim black jeans for a breezy weekend hangout with friends.""'}""",1711001,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::YES ENTERPRISES,2996/97,back side P.N.B Sunder Nagar,LUDHIANA,PUNJAB,141008-----Country of origin::INDIA-----"""
135,"""Roadster""","""Men Charcoal Melange Printed Round Neck T-shirt""",Rs. 499,Rs. 324,(35% OFF),"""{'Product Details ': '""Charcoal printed T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Cotton Machine-wash""', 'Complete The Look': '""Sport this trendsetting Roadster tee when you\'re ready to take your style to the next level.  When you\'re out running errands, you\'ll look your best when you combine this charcoal piece with your favourite pair of sunglasses and trainer shoes.""'}""",1072681,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::MACFIT FASHIONS,NO-1,5/6 , SINGARAVELAN NAGAR,1ST STREET,SAKTHI THEATRE ROAD ,CHETTIPALAYAM,Tirupur,TAMILNADU,641603-----Country of origin::INDIA-----"""
136,"""Roadster""","""Men Teal Blue Solid Round Neck T-shirt""",Rs. 699,Rs. 384,(45% OFF),"""{'Product Details ': '""Teal blue solid T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: Cotton Machine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11545500,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::YES ENTERPRISES,2996/97,back side P.N.B Sunder Nagar,,LUDHIANA,PUNJAB,141008-----Country of origin::India-----"""
137,"""Moda Rapido""","""Men Mustard Yellow & Black Printed Polo Collar T-shirt""",Rs. 899,Rs. 899,0,"""{'Product Details ': '""Mustard yellow and black printed T-shirt, has a polo collar, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Abstract,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Printed,Pattern Coverage:Full-Front,Print or Pattern Type:Abstract,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",7674833,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::SHRI GANAPATHI SOURSES, 115/2 Behind SSK Knit Printers, Palladam Road, Mangalam,Tripur,TIRUPPUR,TAMILNADU,641663-----Country of origin::INDIA-----"""
138,"""GUESS""","""Men Maroon Solid V-Neck T-shirt""",Rs. 2999,Rs. 2099,(30% OFF),"""{'Product Details ': '""Maroon solid T-shirt, has a V-neck, short sleeves and one pocket""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: Organic cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:V-Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Surface Styling:Pockets,Wash Care:Machine Wash,""""'}""",11529624,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::Imported by Myntra Jabong India Pvt Ltd, 6/B, Vaishnavi Summit, 7th Main, 80 Feet Road, 3rd Block, Koramangla Ind, Bangaluru 560034, Karnataka, India-----Country of origin::BANGLADESH-----"""
